Smiles,pIC50
CCc1cc2c(NCC3CCN(Cc4ccc(F)cc4)CC3)ncnc2s1,5.36
CCc1cccc(C[C@@H]2NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCNC(=N)N)NC(=O)C3(CCC3)NC(=O)[C@@H]3CCCN3C2=O)c1,5.34
CC1(C)CN=C(N2CCN(c3ncnc4sc(Cc5ccccc5)cc34)CC2)S1,5.34
CC1(C)CN=C(N2CCN(c3ncnc4sc(Br)cc34)CC2)S1,5.32
N#Cc1ccc(OCCCCN2CCC(C3(C4CCCC4)NCCc4ccccc43)CC2)cc1,5.3
CCO[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,5.27
CCc1cc2c(N3CCCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,5.2
N=C(N)NCCC[C@@H]1NC(=O)C2(CCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,5.2
C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CCCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC1=O,5.19
N#Cc1ccc(N2CCCC(CN3CCC(C4(C5CCCC5)NCCc5ccccc54)CC3)C2)cc1,5.18
CC(=O)N1c2ccccc2NC2=C(C(=O)CC(c3ccc(C(C)(C)C)cc3)C2)C1c1cccnc1,5.16
CCc1cc2c(N3CCCN(CC(=O)N4CCCC4)CC3)ncnc2s1,5.16
CCCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC,5.13
CC(=O)N1c2ccccc2NC2=C(C(=O)CC(c3ccc(Cl)c(Cl)c3)C2)C1c1cccnc1,5.13
Cc1sc2ncnc(NC3CCN(Cc4ccccc4)CC3)c2c1C,5.06
CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(N)=O,5.02
CCc1cc2c(N3CCN(C(=O)c4ccccc4)CC3)ncnc2s1,5
CC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC1=O,4.97
CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H]1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,4.96
N#Cc1ccc(OCCCN2CCC(C(O)(c3ccccc3)C3CC3)CC2)cc1,4.95
c1ccc(CN2CCC(Nc3ncnc4sc5c(c34)CCC5)CC2)cc1,4.92
CCc1cc2c(N3CCN(C(=O)c4ccco4)CC3)ncnc2s1,4.92
CC1(C)CC(=O)C2=C(C1)Nc1ccccc1NC2c1ccc2c(c1)OCO2,4.92
CCCCC(O)(c1ccccc1)C1CCN(CCCOc2ccc(C#N)cc2)CC1,4.82
CO[C@H]1CCC[C@@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,4.82
CCc1cc2c(N3CCN(CC(=O)N4CCN(C)CC4)CC3)ncnc2s1,4.8
CO[C@@H]1CCC[C@H]1[C@](C#N)(c1ccccc1)C1CCN(CC2CN(c3ccc(C#N)cc3)C2)CC1,4.72
COc1ccc(CN2CCCN(c3ncnc4sc(C)c(C)c34)CC2)cc1,4.7
CC1CCc2c(sc3ncnc(NC4CCN(Cc5ccccc5)CC4)c23)C1,4.7
CCc1cc2c(N3CCN(CC(=O)N4CCOCC4)CC3)ncnc2s1,4.7
N#Cc1ccc(OCCN2CCC(C3(C4CCCC4)NCCc4ccccc43)CC2)cc1,4.67
CCc1cc2c(NCCN(CC)Cc3ccccc3)ncnc2s1,4.57
CC(=O)N1c2ccccc2NC2=C(C(=O)CC(c3ccc(C(C)(C)C)cc3)C2)C1c1ccncc1,4.55
c1csc(N2CCN(c3ncnc4sccc34)CC2)n1,4.53
CCc1cc2c(N3CCN(Cc4ccc(Cl)cc4)CC3)ncnc2s1,4.52
CC(C)c1cc2c(N3CCCN(C4=NCC(C)(C)S4)CC3)ncnc2s1,4.5
COc1ccc(-c2csc(CC(N)=O)n2)cc1,4.48
c1cn(CCCNc2ncnc3sc4c(c23)CCCCC4)cn1,4.46
COc1cc(C2Nc3ccccc3NC3=C2C(=O)CC(C)(C)C3)cc(OC)c1OC,4.46
CC(C)Cc1cccc(C[C@@H]2NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCNC(=N)N)NC(=O)C3(CCC3)NC(=O)[C@@H]3CCCN3C2=O)c1,4.44
N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(-c3ccccc3)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,4.41
CCc1cc2c(NCC3CCN(Cc4cccc(C)c4)CC3)ncnc2s1,4.4
CCc1cc2c(N3CCN(Cc4ccccc4)CC3)ncnc2s1,4.38
Cc1csc(N2CCN(c3nc(C)nc4sc5c(c34)CCCC5)CC2)n1,4.31
c1ccc(-c2cc3c(N4CCN(c5nccs5)CC4)ncnc3s2)cc1,4.3
Nc1cccc(-c2cccnc2)c1,4.3
CCc1cc2c(N3CCN(c4ccccn4)CC3)ncnc2s1,4.22
O=C1CC(c2ccc3c(c2)OCO3)CC2=C1C(c1cccnc1)Nc1ccccc1N2,4.2
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,4.16
Cc1c(-c2ccccc2)sc2ncnc(N3CCN(c4nccs4)CC3)c12,4.15
COc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2N(C(C)=O)C3c2cccnc2)cc1,4.14
N#Cc1ccc(OCC(O)CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,4.11
COc1ccc(-c2csc(CC(N)=O)n2)cc1Br,4.1
CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,4.07
CC(=O)N1c2ccccc2NC2=C(C(=O)CC(c3ccc(C)cc3)C2)C1c1cccnc1,4
COc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cccnc2)cc1OC,4
